SpinCore Technologies, Inc. SpinAPI ver. 20171214
Logfile created: Wed Oct 27 16:44:56 2021

Markers: (I) info, (W) warning, (E) error.

================================================================================================
    TIME     FUNCTION                     MESSAGE                      
================================================================================================
(I) 16:44:56 os_count_boards:177         Registering WinDriver...
(I) 16:44:56 pb_outp:1551                pb_outp: addr 6, data 4. Using the direct protocol.
(I) 16:44:56 pb_outp:1551                pb_outp: addr 6, data 93. Using the direct protocol.
(I) 16:44:56 pb_outp:1551                pb_outp: addr 6, data dd. Using the direct protocol.
(I) 16:44:56 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 16:44:56 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:44:56 pb_reset:583                pb_reset():
(I) 16:44:56 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:44:56 pb_outp:1551                pb_outp: addr 2, data ff. Using the direct protocol.
(I) 16:44:56 pb_outp:1551                pb_outp: addr 3, data ff. Using the direct protocol.
(I) 16:44:56 pb_outp:1551                pb_outp: addr 4, data ff. Using the direct protocol.
(I) 16:44:56 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:44:56 pb_start:488                pb_start():
(I) 16:44:56 pb_outp:1551                pb_outp: addr 1, data 0. Using the direct protocol.
(I) 16:44:56 do_os_close:1650            do_os_close: closing pci
(I) 16:44:58 pb_init:188                 Entering pb_init. cur_board = 0
(I) 16:44:58 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 16:44:58 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 16:44:58 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 16:44:58 do_os_init:1623             do_os_init: board # 0
(I) 16:44:58 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 16:44:58 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 16:44:58 do_os_init:1630             do_os_init: initializing pci
(I) 16:44:58 os_init:226                 card_num: 0
(I) 16:44:58 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 16:44:58 os_init:228                 Found Product ID: 8878
(I) 16:44:58 os_init:235                 	PulseBlasterESR-PRO
(I) 16:44:58 os_init:235                 	PulseBlaster-24 (SP17)
(I) 16:44:58 os_init:235                 	PulseBlaster-16 (SP17)
(I) 16:44:58 os_init:235                 	PulseBlaster-12 (SP17)
(I) 16:44:58 get_caps:22                 dev_id=0x8878
(I) 16:44:58 get_caps:107                Detected PulseBlasterESR board (r 0x913)
(I) 16:44:58 pb_start_programming:265    pb_start_programming (device=0)
(I) 16:44:58 pb_start_programming:328    pb_start_programming: reset
(I) 16:44:58 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 2, data a. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 3, data 0. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 4, data 0. Using the direct protocol.
(I) 16:44:58 pb_inst_pbonly64:856        pb_inst_pbonly: inst=6, inst_data=0,length=1000000.000000, flags=0x00fffff0
(I) 16:44:58 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x6, flags=0x00fffff0, delay=299997
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data f0. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data 6. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data 4. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data 93. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 6, data dd. Using the direct protocol.
(I) 16:44:58 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 16:44:58 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:44:58 pb_reset:583                pb_reset():
(I) 16:44:58 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 2, data ff. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 3, data ff. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 4, data ff. Using the direct protocol.
(I) 16:44:58 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:44:58 pb_start:488                pb_start():
(I) 16:44:58 pb_outp:1551                pb_outp: addr 1, data 0. Using the direct protocol.
(I) 16:44:58 do_os_close:1650            do_os_close: closing pci
(I) 16:45:52 pb_init:188                 Entering pb_init. cur_board = 0
(I) 16:45:52 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 16:45:52 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 16:45:52 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 16:45:52 do_os_init:1623             do_os_init: board # 0
(I) 16:45:52 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 16:45:52 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 16:45:52 do_os_init:1630             do_os_init: initializing pci
(I) 16:45:52 os_init:226                 card_num: 0
(I) 16:45:52 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 16:45:52 os_init:228                 Found Product ID: 8878
(I) 16:45:52 os_init:235                 	PulseBlasterESR-PRO
(I) 16:45:52 os_init:235                 	PulseBlaster-24 (SP17)
(I) 16:45:52 os_init:235                 	PulseBlaster-16 (SP17)
(I) 16:45:52 os_init:235                 	PulseBlaster-12 (SP17)
(I) 16:45:52 get_caps:22                 dev_id=0x8878
(I) 16:45:52 get_caps:107                Detected PulseBlasterESR board (r 0x913)
(I) 16:45:52 pb_start_programming:265    pb_start_programming (device=0)
(I) 16:45:52 pb_start_programming:328    pb_start_programming: reset
(I) 16:45:52 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 2, data a. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 3, data 0. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 4, data 0. Using the direct protocol.
(I) 16:45:52 pb_inst_pbonly64:856        pb_inst_pbonly: inst=6, inst_data=0,length=1000000.000000, flags=0x00fffffe
(I) 16:45:52 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x6, flags=0x00fffffe, delay=299997
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data fe. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data 6. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data 4. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data 93. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 6, data dd. Using the direct protocol.
(I) 16:45:52 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 16:45:52 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:45:52 pb_reset:583                pb_reset():
(I) 16:45:52 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 2, data ff. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 3, data ff. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 4, data ff. Using the direct protocol.
(I) 16:45:52 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:45:52 pb_start:488                pb_start():
(I) 16:45:52 pb_outp:1551                pb_outp: addr 1, data 0. Using the direct protocol.
(I) 16:45:52 do_os_close:1650            do_os_close: closing pci
(I) 16:47:57 pb_init:188                 Entering pb_init. cur_board = 0
(I) 16:47:57 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 16:47:57 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 16:47:57 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 16:47:57 do_os_init:1623             do_os_init: board # 0
(I) 16:47:57 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 16:47:57 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 16:47:57 do_os_init:1630             do_os_init: initializing pci
(I) 16:47:57 os_init:226                 card_num: 0
(I) 16:47:57 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 16:47:57 os_init:228                 Found Product ID: 8878
(I) 16:47:57 os_init:235                 	PulseBlasterESR-PRO
(I) 16:47:57 os_init:235                 	PulseBlaster-24 (SP17)
(I) 16:47:57 os_init:235                 	PulseBlaster-16 (SP17)
(I) 16:47:57 os_init:235                 	PulseBlaster-12 (SP17)
(I) 16:47:57 get_caps:22                 dev_id=0x8878
(I) 16:47:57 get_caps:107                Detected PulseBlasterESR board (r 0x913)
(I) 16:47:57 pb_start_programming:265    pb_start_programming (device=0)
(I) 16:47:57 pb_start_programming:328    pb_start_programming: reset
(I) 16:47:57 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 2, data a. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 3, data 0. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 4, data 0. Using the direct protocol.
(I) 16:47:57 pb_inst_pbonly64:856        pb_inst_pbonly: inst=6, inst_data=0,length=1000000.000000, flags=0x00fffff0
(I) 16:47:57 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x6, flags=0x00fffff0, delay=299997
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data f0. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data 6. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data 4. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data 93. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 6, data dd. Using the direct protocol.
(I) 16:47:57 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 16:47:57 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:47:57 pb_reset:583                pb_reset():
(I) 16:47:57 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 2, data ff. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 3, data ff. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 4, data ff. Using the direct protocol.
(I) 16:47:57 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:47:57 pb_start:488                pb_start():
(I) 16:47:57 pb_outp:1551                pb_outp: addr 1, data 0. Using the direct protocol.
(I) 16:47:57 do_os_close:1650            do_os_close: closing pci
(I) 16:47:59 pb_init:188                 Entering pb_init. cur_board = 0
(I) 16:47:59 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 16:47:59 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 16:47:59 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 16:47:59 do_os_init:1623             do_os_init: board # 0
(I) 16:47:59 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 16:47:59 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 16:47:59 do_os_init:1630             do_os_init: initializing pci
(I) 16:47:59 os_init:226                 card_num: 0
(I) 16:47:59 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 16:47:59 os_init:228                 Found Product ID: 8878
(I) 16:47:59 os_init:235                 	PulseBlasterESR-PRO
(I) 16:47:59 os_init:235                 	PulseBlaster-24 (SP17)
(I) 16:47:59 os_init:235                 	PulseBlaster-16 (SP17)
(I) 16:47:59 os_init:235                 	PulseBlaster-12 (SP17)
(I) 16:47:59 get_caps:22                 dev_id=0x8878
(I) 16:47:59 get_caps:107                Detected PulseBlasterESR board (r 0x913)
(I) 16:47:59 pb_start_programming:265    pb_start_programming (device=0)
(I) 16:47:59 pb_start_programming:328    pb_start_programming: reset
(I) 16:47:59 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 2, data a. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 3, data 0. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 4, data 0. Using the direct protocol.
(I) 16:47:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=6, inst_data=0,length=1000000.000000, flags=0x00fffffe
(I) 16:47:59 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x6, flags=0x00fffffe, delay=299997
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data fe. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data 6. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data 4. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data 93. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 6, data dd. Using the direct protocol.
(I) 16:47:59 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 16:47:59 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:47:59 pb_reset:583                pb_reset():
(I) 16:47:59 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 2, data ff. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 3, data ff. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 4, data ff. Using the direct protocol.
(I) 16:47:59 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:47:59 pb_start:488                pb_start():
(I) 16:47:59 pb_outp:1551                pb_outp: addr 1, data 0. Using the direct protocol.
(I) 16:47:59 do_os_close:1650            do_os_close: closing pci
(I) 16:48:00 pb_init:188                 Entering pb_init. cur_board = 0
(I) 16:48:00 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 16:48:00 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 16:48:00 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 16:48:00 do_os_init:1623             do_os_init: board # 0
(I) 16:48:00 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 16:48:00 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 16:48:00 do_os_init:1630             do_os_init: initializing pci
(I) 16:48:00 os_init:226                 card_num: 0
(I) 16:48:00 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 16:48:00 os_init:228                 Found Product ID: 8878
(I) 16:48:00 os_init:235                 	PulseBlasterESR-PRO
(I) 16:48:00 os_init:235                 	PulseBlaster-24 (SP17)
(I) 16:48:00 os_init:235                 	PulseBlaster-16 (SP17)
(I) 16:48:00 os_init:235                 	PulseBlaster-12 (SP17)
(I) 16:48:00 get_caps:22                 dev_id=0x8878
(I) 16:48:00 get_caps:107                Detected PulseBlasterESR board (r 0x913)
(I) 16:48:00 pb_start_programming:265    pb_start_programming (device=0)
(I) 16:48:00 pb_start_programming:328    pb_start_programming: reset
(I) 16:48:00 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 2, data a. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 3, data 0. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 4, data 0. Using the direct protocol.
(I) 16:48:00 pb_inst_pbonly64:856        pb_inst_pbonly: inst=6, inst_data=0,length=1000000.000000, flags=0x00fffff0
(I) 16:48:00 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x6, flags=0x00fffff0, delay=299997
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data f0. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data 6. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data 4. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data 93. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 6, data dd. Using the direct protocol.
(I) 16:48:00 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 16:48:00 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:48:00 pb_reset:583                pb_reset():
(I) 16:48:00 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 2, data ff. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 3, data ff. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 4, data ff. Using the direct protocol.
(I) 16:48:00 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:48:00 pb_start:488                pb_start():
(I) 16:48:00 pb_outp:1551                pb_outp: addr 1, data 0. Using the direct protocol.
(I) 16:48:00 do_os_close:1650            do_os_close: closing pci
(I) 16:48:01 pb_init:188                 Entering pb_init. cur_board = 0
(I) 16:48:01 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 16:48:01 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 16:48:01 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 16:48:01 do_os_init:1623             do_os_init: board # 0
(I) 16:48:01 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 16:48:01 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 16:48:01 do_os_init:1630             do_os_init: initializing pci
(I) 16:48:01 os_init:226                 card_num: 0
(I) 16:48:01 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 16:48:01 os_init:228                 Found Product ID: 8878
(I) 16:48:01 os_init:235                 	PulseBlasterESR-PRO
(I) 16:48:01 os_init:235                 	PulseBlaster-24 (SP17)
(I) 16:48:01 os_init:235                 	PulseBlaster-16 (SP17)
(I) 16:48:01 os_init:235                 	PulseBlaster-12 (SP17)
(I) 16:48:01 get_caps:22                 dev_id=0x8878
(I) 16:48:01 get_caps:107                Detected PulseBlasterESR board (r 0x913)
(I) 16:48:01 pb_start_programming:265    pb_start_programming (device=0)
(I) 16:48:01 pb_start_programming:328    pb_start_programming: reset
(I) 16:48:01 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 2, data a. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 3, data 0. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 4, data 0. Using the direct protocol.
(I) 16:48:01 pb_inst_pbonly64:856        pb_inst_pbonly: inst=6, inst_data=0,length=1000000.000000, flags=0x00fffffe
(I) 16:48:01 pb_inst_direct:1116         pb_inst_direct: OPCODE=0x6, flags=0x00fffffe, delay=299997
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data ff. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data fe. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data 6. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data 0. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data 4. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data 93. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 6, data dd. Using the direct protocol.
(I) 16:48:01 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 16:48:01 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:48:01 pb_reset:583                pb_reset():
(I) 16:48:01 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 2, data ff. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 3, data ff. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 4, data ff. Using the direct protocol.
(I) 16:48:01 pb_outp:1551                pb_outp: addr 7, data 0. Using the direct protocol.
(I) 16:48:01 pb_start:488                pb_start():
(I) 16:48:01 pb_outp:1551                pb_outp: addr 1, data 0. Using the direct protocol.
(I) 16:48:01 do_os_close:1650            do_os_close: closing pci
(I) 16:49:59 pb_init:188                 Entering pb_init. cur_board = 0
(I) 16:49:59 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 16:49:59 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 16:49:59 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 16:49:59 do_os_init:1623             do_os_init: board # 0
(I) 16:49:59 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 16:49:59 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 16:49:59 do_os_init:1630             do_os_init: initializing pci
(I) 16:49:59 os_init:226                 card_num: 0
(I) 16:49:59 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 16:49:59 os_init:228                 Found Product ID: 8878
(I) 16:49:59 os_init:235                 	PulseBlasterESR-PRO
(I) 16:49:59 os_init:235                 	PulseBlaster-24 (SP17)
(I) 16:49:59 os_init:235                 	PulseBlaster-16 (SP17)
(I) 16:49:59 os_init:235                 	PulseBlaster-12 (SP17)
(I) 16:49:59 get_caps:22                 dev_id=0x8878
(I) 16:49:59 get_caps:107                Detected PulseBlasterESR board (r 0x913)
(I) 16:49:59 pb_start_programming:265    pb_start_programming (device=0)
(I) 16:49:59 pb_start_programming:328    pb_start_programming: reset
